"Experiment Name"	"Analysis Name"	Included	Position	"SampleName"	CrossingPoint	Concentration	Standard	"StatusCodes"	"StatusDesc"	Call	CpUncertain	CpState	CalcConcUncertain
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	B2	"rBDNFcod,Rcod-1-5-4"	16.7141000831936	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	B3	"rBDNFcod,Rcod-1-5-5"	19.0285269319908	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	B4	"rBDNFcod,Rcod-1-5-6"	21.55249219883	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	B5	"rBDNFcod,Rcod-1-5-7"	23.8178898596971	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	B6	"rBDNFcod,Rcod-1-5-8"	26.2221504647707	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	B7	"rBDNFcod,Rcod-1-5-9"	28.4966227289393	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	B8	"rBDNFcod,Rcod-1-5-10"	31.1705301286323	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	B9	"rBDNFcod,mQ"	 	 	 	" "	" "	pdcNegative	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	C2	"rBDNFcod,Rcod-1-5-4"	16.724786163966	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	C3	"rBDNFcod,Rcod-1-5-5"	19.1130550786865	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	C4	"rBDNFcod,Rcod-1-5-6"	21.5417979141939	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"A14-p12lk017202-rBDNFcod-2"	"Abs Quant/2nd Derivative Max for rBDNFcod"	1	C5	"rBDNFcod,Rcod-1-5-7"	23.8762626822591	 	 	" "	" "	pdcPositive	0	cpsNormal	0
